Date,Temperature ©,Turbidity (mg/l),pH,Dissolved Oxygen (mg/l),Dissolved Solids (mg/l)
27-03-14,16,43,8.32,3.3,174
28-03-14,17,43,8.2,3.9,193
29-03-14,17,48,8.84,3.8,199
30-03-14,17,42,8.26,3.6,181
31-03-14,20,35,8.32,3.3,192
1/4/2014,22,52,8.22,3.7,174
2/4/2014,22,46,8.32,3.6,195
3/4/2014,22,22.7,8.41,3.8,177
4/4/2014,23,28,8.2,3.4,168
5/4/2014,24,27.2,8.25,2.8,180
6/4/2014,21,21.53,8.23,2.3,176
7/4/2014,21,28,8.4,3.2,180
8/4/2014,22,30,8.18,3.5,195
9/4/2014,22,13,8.1,3.4,170
10/4/2014,17,18,130,3.4,10
11/4/2014,20,17,8.3,2.3,195
12/4/2014,25,20,8.12,3.1,193
13-04-14,25.6,16,8.18,3.1,168
14-04-14,19,20,8.33,3.3,171
15-04-14,20,22,8.18,3.5,193
16-04-14,22,25,8.3,3.6,178
17-04-14,22,21,8.25,3.9,195
18-04-14,21,18,8.14,3.6,173
19-04-14,19,23,8.42,3.8,192
20-04-14,19,25,8.38,3.5,136
21-04-14,20,21,8.2,3.4,173
22-04-14,19,20,8.14,3.8,184
24-04-14,20,30,8.35,3.7,198
25-04-14,20,28,8.32,3.6,192
26-04-14,20,24,8.16,2.8,180
27-04-14,20,28,8.41,3.3,198
28-04-14,25,26,8.25,3.8,191
28-04-14,19,25,8.31,3.4,189
29-04-14,25,30,8.28,3.4,187
30-04-14,25,29,8.41,3.9,178
1/5/2014,28,28,8.15,3.5,198
2/5/2014,28,25,8.35,3.6,185
3/5/2014,28,11,8.22,3.3,186
4/5/2014,28,22,8.4,3.8,193
5/5/2014,28,27,8.22,3.7,182
6/5/2014,28,30,8.15,3.5,191
7/5/2014,28,35,8.41,3.9,199
8/5/2014,28,27,8.21,3.5,192
9/5/2014,29,22,8.1,3.4,186
10/5/2014,29,35,8.27,3.8,219
11/5/2014,29,32,8.3,2.6,215
12/5/2014,20,23,8.18,2.9,220
13-05-14,29,27,8.2,3.1,236
14-05-14,30,24,8.14,2.9,203
15-05-14,30,26,8.18,2.6,180
16-05-14,28,24,8.2,2.8,170
17-05-14,29,26,8.16,2.8,180
18-05-14,30,24,8.2,2.8,170
19-05-14,30,28,8.12,2.1,185
20-05-14,30,25,8.3,2.8,180
21-05-14,30,26,8.18,2.8,183
22-05-14,28,30,8.46,2.2,230
23-05-14,30,28,8.14,1.8,180
24-05-14,30,26,8.2,2.3,165
25-05-14,28,26,8.12,2.8,180
26-05-14,28,29,8.18,2.4,172
27-05-14,28,40,8.33,3.3,186
28-05-14,28,22,8.15,3.6,198
29-05-14,28,26,8.2,2.2,180
30-05-14,28,29,8.32,2.9,197
31-05-14,28,26,8.19,3.7,182
1/6/2014,28,33,8.24,3.8,192
2/6/2014,22,26,8.11,3.4,190
3/6/2014,28,22,8.23,3.6,196
4/6/2014,28,20,8.31,3.5,187
5/6/2014,20,25,8.16,3.8,196
6/6/2014,28,28,8.27,3.7,187
7/6/2014,28,29,8.31,3.8,172
8/6/2014,28,22,8.14,2.8,175
9/6/2014,28,29,8.2,3.8,180
10/6/2014,28,22,8.15,3.4,170
11/6/2014,28,20,8.25,3.7,194
12/6/2014,28,25,8.33,3.6,189
13-06-14,28,20,8.15,3.5,198
14-06-14,28,26,8.23,3.9,195
15-06-14,28,23,8.22,3.5,194
16-06-14,28,20,8.35,3.8,184
17-06-14,28,22,8.22,3.5,196
18-06-14,26,26,7.38,3.8,222
19-06-14,26,23,8.08,3.4,220
20-06-14,26,18,8.18,3.5,199
21-06-14,26,23,8.25,3.8,210
22-06-14,24,16,8.32,2.9,238
23-06-14,22,18,8.16,2.6,228
24-06-14,23,21,8.35,3.6,199
25-06-14,23,18,3.27,3.9,197
26-06-14,23,20,8.09,3.8,199
27-06-14,23,18,8.24,3.2,208
28-06-14,23,16,8.08,3.5,218
29-06-14,24,19,8.23,3.6,174
30-06-14,24,21,8.3,3.6,187
1/7/2014,25,20,8.06,3.6,202
2/7/2014,25,25,8.22,3.8,218
3/7/2014,25,19,8.07,3.6,204
4/7/2014,25,21,8.1,3.4,215
5/7/2014,26,25,8.15,3.5,220
6/7/2014,26,22,8.25,3.6,216
7/7/2014,26,19,8.22,3.7,199
8/7/2014,27,16,8.16,3.2,180
9/7/2014,27,18,8.35,3.7,199
10/7/2014,29,21,8.41,3.4,205
11/7/2014,28,17,8.19,3.8,218
12/7/2014,28,20,8.32,3.8,198
13-07-14,28,25,8.15,3.3,184
14-07-14,28,28,8.44,3.9,204
15-07-14,28,22,8.23,3.6,185
16-07-14,27,25,8.25,3.8,204
17-07-14,27,19,8.41,3.4,193
18-07-14,27,25,8.32,3.8,198
19-07-14,26,23,8.11,3.6,205
20-07-14,28,22,8.7,3.7,212
21-07-14,27,28,8.25,3.3,274
22-07-14,27,23,8.4,3.6,224
23-07-14,27,20,8.22,3.7,198
24-07-14,26,30,8.22,3.8,187
25-07-14,26,26,8.15,3.5,198
26-07-14,26,22,8.18,2.9,205
27-07-14,26,25,8.12,2.3,420
28-07-14,26,23,8.15,3.2,214
29-07-14,26,25,8.35,3.6,203
30-07-14,26,28,8.28,3.7,215
31-07-14,27,20,8.19,3.3,193
1/8/2014,27,23,8.32,3.6,198
2/8/2014,27,25,8.1,3.5,201
3/8/2014,27,20,8.26,3.6,210
4/8/2014,28,26,8.46,2.7,205
5/8/2014,28,23,8.15,3.5,218
6/8/2014,27,25,8.23,3.6,198
7/8/2014,27,22,8.25,3.3,213
8/8/2014,27,21,8.14,3.4,198
9/8/2014,26,25,8.3,3.7,203
10/8/2014,26,27,8.38,3.5,198
11/8/2014,26,8.22,136,3.5,12
12/8/2014,28,27,8.31,3.3,220
13-08-14,29,29,8.51,3.4,230
14-08-14,29,26,8.25,3.6,196
15-08-14,28,20,8.16,3.2,204
16-08-14,28,23,8.35,3.6,210
17-08-14,28,30,8.26,3.3,219
18-08-14,28,29,8.25,3.6,208
19-08-14,28,27,8.35,3.2,196
20-08-14,29,30,8.51,3.4,205
21-08-14,29,28,8.2,3.6,193
22-08-14,29,25,8.23,3.6,219
23-08-14,29,28,8.32,3.5,202
24-08-14,29,27,8.32,3.6,215
25-08-14,29,30,8.22,3.3,224
26-08-14,29,26,8.2,3.7,198
27-08-14,29,27,8.29,3.6,191
28-08-14,29,30,8.41,3.5,203
29-08-14,29,31,8.42,3.9,226
30-08-14,29,27,8.32,3.5,208
31-08-14,29,30,8.22,3.7,206
1/9/2014,29,32,8.41,3.3,221
2/9/2014,29,33,8.34,3.8,219
3/9/2014,29,45,8.38,3.4,235
4/9/2014,28,42,8.3,3.6,209
5/9/2014,26,145,8.15,3.7,201
6/9/2014,26,75,8.23,3.4,181
7/9/2014,27,70,8.41,3.5,198
8/9/2014,27,60,8.18,3.7,182
9/9/2014,27,46,8.22,3.6,199
10/9/2014,27,70,8.3,3.5,214
11/9/2014,27,52,8.3,3.9,230
12/9/2014,27,47,8.27,3.5,213
13-09-14,27,58,8.3,3.8,229
14-09-14,27,46,8.36,3.5,199
15-09-14,27,42,8.24,3.7,192
16-09-14,27,38,8.36,3.8,208
17-09-14,27,40,8.18,3.6,215
18-09-14,27,43,8.34,3.7,221
19-09-14,27,35,8.14,3.8,198
20-09-14,27,32,8.26,3.5,209
21-09-14,27,28,8.09,3.1,200
21-09-14,27,28,8.09,3.1,200
22-09-14,27,26,8.28,2.6,223
23-09-14,27,25.3,8.09,3.4,198
24-09-14,27,28,8.31,3.6,201
25-09-14,27,22,8.42,3.4,218
26-09-14,27,20,8.24,3.8,196
27-09-14,27,22,8.22,3.4,212
28-09-14,27,23,8.28,2.7,220
29-09-14,24.7,18,7.96,3.7,175
30-09-14,24,18,8.1,3.3,186
1/10/2014,24,22,8.24,3.6,198
2/10/2014,24,19,8.31,3.5,189
3/10/2014,24,20,8.19,3.6,198
4/10/2014,24.4,18,7.91,3.3,315
5/10/2014,25.3,21,7.86,3.1,270
6/10/2014,25,18,7.46,2.9,285
7/10/2014,25,21,7.98,2.1,270
8/10/2014,25,20,7.86,2.9,300
9/10/2014,25,18,8.01,3.4,299
10/10/2014,25,22,7.96,2.4,305
11/10/2014,25,18,7.85,2.7,298
12/10/2014,25,20,7.9,2.6,295
13-10-14,24,17,8.08,2.8,293
14-10-14,24,22,7.92,2.4,310
15-10-14,23,19,7.84,2.8,298
16-10-14,23,16,8.1,2.9,319
17-10-14,22,16,7.64,2.5,282
18-10-14,22,21,7.88,2.8,325
19-10-14,24,20,7.4,2.4,300
20-10-14,23,23.4,7.92,2.8,315
21-10-14,22.9,15.2,7.83,2.9,312
22-10-14,22,20,7.93,2.3,318
22-10-14,22,20,7.93,2.3,318
23-10-14,22,19,7.6,2.9,280
24-10-14,22,16,7.84,3.2,319
25-10-14,21,18,8.18,3.6,393
26-10-14,21,20,7.99,2.9,290
27-10-14,21,22,7.86,2.5,274
28-10-14,21,19,7.72,2.8,298
29-10-14,21,17,7.35,2.5,285
30-10-14,21,22,7.82,2.9,305
31-10-14,21,16,7.44,2.8,280
1/11/2014,21,18,7.56,2.6,292
2/11/2014,21,19,7.86,2.8,256
3/11/2014,21,20,7.95,3.4,270
4/11/2014,21,18,7.71,2.8,250
5/11/2014,21,22,7.93,2.5,283
6/11/2014,20,20,7.45,2.8,296
7/11/2014,20,16,7.54,2.8,273
8/11/2014,20,21,7.95,2.7,322
9/11/2014,20,23,7.32,2.8,298
10/11/2014,20,19,7.43,2.5,281
11/11/2014,20,22,7.6,2.8,292
12/11/2014,20,24,7.46,2.2,299
13-11-14,20,18,7.33,2.8,273
14-11-14,20,17,7.35,2.5,298
15-11-14,20,18,7.4,2.8,250
16-11-14,20,21,7.27,2.5,269
17-11-14,170,16.2,8.38,2.8,273
18-11-14,17,16.2,8.18,2.4,359
19-11-14,16.9,17.32,8.01,2.4,302
20-11-14,16,14.2,7.99,2.8,274
21-11-14,16,18,7.82,2.7,292
22-11-14,16,20,7.48,2.9,269
23-11-14,16,18,7.49,2.9,272
24-11-14,16,17,7.68,2.8,294
25-11-14,16,15,7.93,2.4,298
26-11-14,16,18,7.44,2.7,233
27-11-14,16,20,7.86,2.5,299
28-11-14,15,17,7.92,2.7,315
29-11-14,15.7,16,8.24,2.5,260
30-11-14,15,17,8.28,2.8,259
1/12/2014,15,15.3,8.28,2.6,286
2/12/2014,15,19,8.14,2.7,307
3/12/2014,15,16,8.28,2.6,377
4/12/2014,15,18,8.3,2.4,350
5/12/2014,15,22,7.82,2.8,319
6/12/2014,14,17,8.22,2.7,303
7/12/2014,15,20,8.25,2.3,295
8/12/2014,14,16,8.33,2.8,395
9/12/2014,14,18.13,8.15,2.6,340
10/12/2014,14,16.48,8.47,2.5,305
11/12/2014,14,19,8.25,2.6,342
12/12/2014,14,16,8.35,2.8,298
13-12-14,13,20,7.96,2.6,328
14-12-14,13,22,7.45,2.8,349
15-12-14,13,17,7.6,2.4,309
16-12-14,13,23,7.65,2.5,273
17-12-14,13,25,7.48,2.7,319
18-12-14,13,21,7.88,2.6,328
19-12-14,13,27,7.32,2.3,296
20-12-14,13,23,7.29,2.5,342
21-12-14,13,20,7.25,2.4,325
22-12-14,13,18,7.2,2.4,333
23-12-14,13,16,7.35,2.7,315
24-12-14,13,22,7.54,2.4,340
25-12-14,13,19,7.31,2.8,295
26-12-14,13,18,7.28,2.6,275
27-12-14,13,17,7.46,3.4,255
28-12-14,13,19,7.77,2.9,287
28-12-14,13,19,7.77,2.9,287
29-12-14,13,25,7.32,2.6,298
30-12-14,13,24,7.25,2.8,313
31-12-14,13,21,7.6,2.2,323
31-01-16,11,22,7.64,3.6,304
1/2/2016,11,24,7.19,3.8,335
2/2/2016,11,28,7.1,3.6,347
3/2/2016,11,24,7.38,3.3,374
4/2/2016,11,21,7.23,3.6,349
5/2/2016,11,27,7.24,2.4,317
6/2/2016,11,29,7.44,2.6,335
7/2/2016,11,26,7.54,2.5,339
8/2/2016,11,23,7.78,2.2,309
9/2/2016,11,20,7.23,2.5,324
10/2/2016,11,24,7.23,3.4,306
11/2/2016,11,27,7.45,3.6,324
12/2/2016,12,29,7.48,3.2,387
13-02-16,12,22,7.24,3.5,319
14-02-16,12,25,7.48,3.4,324
15-02-16,12,27.19,7.25,3.6,349
16-02-16,12,30,7.39,3.8,310
17-02-16,13.2,28,7.18,3.5,324
18-02-16,13,25,7.49,3.7,345
19-02-16,13,28,7.2,3.5,354
20-02-16,13,26,7.49,2.7,364
21-02-16,13,29,7.48,2.8,380
22-02-16,13,25,7.25,2.6,342
23-02-16,15,21,7.32,2.7,319
24-02-16,15,23,7.19,3.4,349
25-02-16,16,25,7.48,3.6,363
26-02-16,17,26,7.25,3.8,373
27-02-16,17,28,7.29,3.6,342
28-02-16,11,20.16,7.21,2.4,335
29-02-16,14,19,7.48,2.7,297
1/3/2016,14,21,7.42,3.6,314
2/3/2016,14,16,7.67,3.3,295
3/3/2016,15,18,7.54,3.6,324
4/3/2016,15,20,7.24,3.5,347
5/3/2016,15,14,7.6,3.2,382
6/3/2016,15,16,7.29,3.6,422
7/3/2016,15,19,7.48,3.4,399
8/3/2016,15,16,7.18,3.8,382
9/3/2016,15,18,7.37,3.3,359
10/3/2016,15,14,7.31,3.1,350
11/3/2016,12,26,7.48,2.7,273
12/3/2016,15,16,7.49,3.3,358
13-03-16,15,19,7.54,3.6,371
14-03-16,15,22,7.53,3.4,382
15-03-16,12,26,7.48,2.7,273
16-03-16,15,20,7.41,3.3,367
17-03-16,15,22,7.19,3.6,383
18-03-16,15,21,7.34,3.3,358
19-03-16,15,23,7.21,3.6,374
20-03-16,15,25,7.53,3.5,392
21-03-16,15,23,7.49,3.2,347
22-03-16,15,25,7.23,3.6,318
23-03-16,15,21,7.39,3.7,335
24-03-16,15,26,7.99,3.3,382
25-03-16,15,23,7.84,3.6,358
26-03-16,15,18,7.37,2.4,356
27-03-16,15,20,7.4,2.4,370
28-03-16,15,18,7.27,2.2,369
29-03-16,15,17,7.17,2.2,370
30-03-16,15,14,7.23,2.4,358
31-03-16,14,16,7.2,3.3,368
1/4/2016,14,16,7.14,2.4,350
2/4/2016,14,19,7.1,2.5,332
3/4/2016,14,12,7.21,2.1,365
4/4/2016,14,16,7.42,2.6,390
5/4/2016,14,21,7.18,2.7,358
6/4/2016,14,18,7.39,2.3,342
7/4/2016,15,20,7.54,3.6,327
8/4/2016,16,23,7.48,3.3,308
9/4/2016,16,21,7.15,3.6,335
10/4/2016,15,11.8,7.33,3.1,300
11/4/2016,16,18,7.48,3.4,312
12/4/2016,17,19,7.18,3.6,328
13-04-16,17,20,7.28,3.3,342
14-04-16,18,23,7.54,3.6,348
15-04-16,18,20,7.23,3.3,319
16-04-16,18,25,7.41,3.6,329
17-04-16,18,21,7.37,2.1,320
18-04-16,18,23,7.56,2.7,336
19-04-16,19,20,7.7,3.4,312
20-04-16,18,23,7.56,3.7,363
21-04-16,18,18,7.89,3.3,342
22-04-16,18,22,7.62,3.4,397
23-04-16,18,20,7.33,3.2,368
24-04-16,18,12.11,7.3,2.4,361
25-04-16,18,16,7.21,2.1,360
26-04-16,19,14,7.4,2.1,368
